Fecha;Valor del Dólar (CLP);Hora;Variación Diaria
2025-06-08;$930,79;15:34:13;N/A
2025-06-08;$930,79;15:37:03;0.0%
2025-06-08;$930,79;15:39:47;0.0%
2025-12-17;$913,74;17:23:46;-1.83%
2026-03-01;$861,19;22:32:13;-5.75%
2026-03-01;$861,19;22:37:47;0.0%
2026-03-01;$861,19;22:38:45;0.0%
2026-03-01;$861,19;22:42:41;0.0%
2026-03-01;$861,19;22:44:19;0.0%
2026-03-01;$861,19;23:23:31;0.0%
2026-03-01;$861,19;23:24:08;0.0%
2026-03-02;$871,41;22:28:57;1.19%
2026-03-03;$884,21;00:42:22;1.47%
2026-03-03;$884,21;03:29:34;0.0%
2026-03-03;$884,21;03:30:36;0.0%
2026-03-03;$884,21;03:30:57;0.0%
2026-03-03;$884,21;14:08:33;0.0%
2026-03-03;$884,21;14:09:41;0.0%
2026-03-03;$884,21;14:40:28;0.0%
2026-03-03;$884,21;14:58:58;0.0%
2026-03-03;$884,21;17:01:15;0.0%
2026-03-03;$884,21;17:01:26;0.0%
2026-03-03;$884,21;17:06:28;0.0%
2026-03-03;$884,21;17:06:43;0.0%
2026-03-03;$884,21;17:09:10;0.0%
